Id,Name,Title,Release,Steam Rating,Tags
533780,Zombie Defense,"<a href=""https://store.steampowered.com/app/533780/"">Zombie Defense</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/533780/header.jpg"" alt=""Zombie Defense"">",2016,"82% (1,861 reviews)","Free to Play, Zombies, Tower Defense, Strategy, Survival, Multiplayer, Action, Casual, Indie, Singleplayer, Horror, Shooter, RTS, Co-op, Top-Down, 2D"
706220,Black Desert (706220),"<a href=""https://store.steampowered.com/app/706220/"">Black Desert (706220)</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/582660/header.jpg"" alt=""Black Desert (706220)"">",2017,"76% (35,736 reviews)","MMORPG, Massively Multiplayer, RPG, Open World, Character Customization, Adventure, Fantasy, Strategy, Action, 3D, Simulation, Atmospheric, Crafting, Cooking, Magic, Medieval, PvP, War, Multiplayer, Combat"
346330,BrainBread 2,"<a href=""https://store.steampowered.com/app/346330/"">BrainBread 2</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/346330/header.jpg"" alt=""BrainBread 2"">",2016,"71% (4,072 reviews)","Free to Play, Zombies, Multiplayer, FPS, Survival, Action, Co-op, Shooter, Adventure, Gore, Horror, Early Access, Open World, Indie, RPG, Great Soundtrack, Action RPG, Funny, Classic, Arcade"
57700,Who's That Flying?!,"<a href=""https://store.steampowered.com/app/57700/"">Who&#x27;s That Flying?!</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/57700/header.jpg"" alt=""Who&#x27;s That Flying?!"">",2011,71% (125 reviews),"Action, Indie, Casual, Shoot &#x27;Em Up, Side Scroller"
526920,SQUAKE,"<a href=""https://store.steampowered.com/app/526920/"">SQUAKE</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/526920/header.jpg"" alt=""SQUAKE"">",2017,67% (146 reviews),"Racing, Action, Indie, Casual, Sports"
402310,Overfall,"<a href=""https://store.steampowered.com/app/402310/"">Overfall</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/402310/header.jpg"" alt=""Overfall"">",2016,76% (322 reviews),"CRPG, Survival, Roguelite, Procedural Generation, Strategy RPG, Tactical RPG, Turn-Based Strategy, Turn-Based Combat, Roguelike, Dungeon Crawler, Card Game, Strategy, RPG, 2D, Cute, Multiple Endings, Colorful, Fantasy, Atmospheric, Singleplayer"
342130,Hashtag Dungeon,"<a href=""https://store.steampowered.com/app/342130/"">Hashtag Dungeon</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/342130/header.jpg"" alt=""Hashtag Dungeon"">",2016,58% (34 reviews),"Action, RPG, Indie, Roguelite, Roguelike, Pixel Graphics"
371400,Downpour,"<a href=""https://store.steampowered.com/app/371400/"">Downpour</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/371400/header.jpg"" alt=""Downpour"">",2015,nan,"Action, Indie, Simulation, Survival, Difficult, Robots, 2D Fighter"
363270,O3DX,"<a href=""https://store.steampowered.com/app/363270/"">O3DX</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/363270/header.jpg"" alt=""O3DX"">",2016,40% (10 reviews),"Indie, Racing, Action, Offroad, Physics, Driving, Side Scroller, Difficult"
985890,Streets of Rage 4,"<a href=""https://store.steampowered.com/app/985890/"">Streets of Rage 4</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/985890/header.jpg"" alt=""Streets of Rage 4"">",2020,"92% (11,341 reviews)","Action, Indie, Beat &#x27;em up, 2D, Fighting, Online Co-Op, Great Soundtrack, Local Multiplayer, Arcade, Adventure, Multiplayer, Side Scroller, Retro, Local Co-Op, Casual, Hand-drawn, Classic, Co-op Campaign, Co-op, Colorful"
46600,Swarm Arena,"<a href=""https://store.steampowered.com/app/46600/"">Swarm Arena</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/46600/header.jpg"" alt=""Swarm Arena"">",2010,76% (51 reviews),"Arena Shooter, Twin Stick Shooter, Bullet Hell, Shoot &#x27;Em Up, Top-Down Shooter, PvP, PvE, Competitive, Shooter, Arcade, 2.5D, Top-Down, Controller, Action, Casual, Tactical, Space, Score Attack, Psychedelic, Atmospheric"
838380,DEAD OR ALIVE 6,"<a href=""https://store.steampowered.com/app/838380/"">DEAD OR ALIVE 6</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/838380/header.jpg"" alt=""DEAD OR ALIVE 6"">",2019,"72% (2,968 reviews)","Fighting, Sexual Content, Action, Nudity, Female Protagonist, Mature, Violent, Multiplayer, Competitive, Anime, Ninja, 3D Fighter, Singleplayer, Free to Play, Gore, Great Soundtrack, Arcade, Local Multiplayer, Beat &#x27;em up, Story Rich"
277590,Assassin's Creed Freedom Cry,"<a href=""https://store.steampowered.com/app/277590/"">Assassin&#x27;s Creed Freedom Cry</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/277590/header.jpg"" alt=""Assassin&#x27;s Creed Freedom Cry"">",2014,"75% (1,555 reviews)","Action, Adventure, Assassin, Open World, Pirates, Stealth, Singleplayer, Parkour, Third Person, Historical, Story Rich, Atmospheric, RPG, Naval, Sailing, Sci-fi, Gore, Swordplay, Great Soundtrack, Controller"
384500,Zombie Party,"<a href=""https://store.steampowered.com/app/384500/"">Zombie Party</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/384500/header.jpg"" alt=""Zombie Party"">",2016,77% (318 reviews),"Action Roguelike, Action, Indie, Adventure, RPG, Bullet Hell, Zombies, Twin Stick Shooter, Dungeon Crawler, Multiplayer, Pixel Graphics, Difficult, GameMaker, Roguelite, Roguelike, Local Multiplayer, Illuminati, 2D, Co-op, Local Co-Op"
404590,Vikings - Wolves of Midgard,"<a href=""https://store.steampowered.com/app/404590/"">Vikings - Wolves of Midgard</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/404590/header.jpg"" alt=""Vikings - Wolves of Midgard"">",2017,"58% (2,588 reviews)","RPG, Hack and Slash, Action, Action RPG, Mythology, Fantasy, Isometric, Co-op, Multiplayer, Vikings, Gore, Singleplayer, Online Co-Op, Medieval, Loot, Local Co-Op, Violent, Nudity, Adventure, Dark Fantasy"
637100,Sonic Forces,"<a href=""https://store.steampowered.com/app/637100/"">Sonic Forces</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/637100/header.jpg"" alt=""Sonic Forces"">",2017,"64% (4,238 reviews)","Great Soundtrack, Character Customization, Adventure, 3D Platformer, Action, Fast-Paced, Platformer, Singleplayer, Colorful, Story Rich, 2D, 2.5D, Memes, Action-Adventure, Family Friendly, Funny, War, Cartoony, Classic, Psychological Horror"
805550,Assetto Corsa Competizione,"<a href=""https://store.steampowered.com/app/805550/"">Assetto Corsa Competizione</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/805550/header.jpg"" alt=""Assetto Corsa Competizione"">",2019,"90% (11,278 reviews)","Racing, Automobile Sim, Simulation, VR, Driving, Multiplayer, Sports, Realistic, Singleplayer, Early Access, Controller, eSports, First-Person, Competitive, Atmospheric, Open World, Online Co-Op, Difficult"
472870,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,"<a href=""https://store.steampowered.com/app/472870/"">Higurashi When They Cry Hou - Ch.3 Tatarigoroshi</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/472870/header.jpg"" alt=""Higurashi When They Cry Hou - Ch.3 Tatarigoroshi"">",2016,98% (419 reviews),"Visual Novel, Anime, Mystery, Adventure, Story Rich, Atmospheric, Psychological, Dark, Great Soundtrack, Singleplayer, Cute, Cult Classic, Classic"
1213210,Command & Conquer™ Remastered Collection,"<a href=""https://store.steampowered.com/app/1213210/"">Command &amp; Conquer™ Remastered Collection</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/1213210/header.jpg"" alt=""Command &amp; Conquer™ Remastered Collection"">",2020,"91% (20,400 reviews)","Strategy, RTS, Base Building, Classic, Multiplayer, Great Soundtrack, 1990&#x27;s, War, Singleplayer, FMV, Level Editor, PvP, Remake, Replay Value, Tanks, Cinematic, Soundtrack, Isometric, Real Time Tactics, Retro"
426630,Bubsy Two-Fur,"<a href=""https://store.steampowered.com/app/426630/"">Bubsy Two-Fur</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/426630/header.jpg"" alt=""Bubsy Two-Fur"">",1993,72% (284 reviews),"Action, Adventure, Platformer, Retro, Classic, Family Friendly, Gore, Great Soundtrack, Violent, Mature, Singleplayer, Difficult, 2D, Cult Classic, 1990&#x27;s, Pixel Graphics"
