Id,Name,Title,Release,BGG Ranking,BGG Rating,Average Rating,Average Rating Z,Tags
224037,Codenames: Duet,"<a href=""https://boardgamegeek.com/boardgame/224037"">Codenames: Duet</a><br><img src=""https://cf.geekdo-images.com/0d1EaMVmAiIBROI2QstFSQ__thumb/img/J-thZd7Pbbh1CE8QHcvEE4w8FBE=/fit-in/200x150/filters:strip_icc()/pic3596681.jpg"" alt=""Codenames: Duet"">",2017,#171,7.3,7.532456140350877,0.4135774148303937,"Card Game, Deduction, Spies/Secret Agents, Word Game"
104162,Descent: Journeys in the Dark (Second Edition),"<a href=""https://boardgamegeek.com/boardgame/104162"">Descent: Journeys in the Dark (Second Edition)</a><br><img src=""https://cf.geekdo-images.com/ZN2rpiJ19lg5DZk_iYMMkQ__thumb/img/C6XETjkjDq3zebWc7-Rf_WKh2ak=/fit-in/200x150/filters:strip_icc()/pic1180640.jpg"" alt=""Descent: Journeys in the Dark (Second Edition)"">",2012,#128,7.4,7.466240601503761,0.24099644540323248,"Adventure, Exploration, Fantasy, Fighting, Miniatures"
91872,Dungeons & Dragons: The Legend of Drizzt Board Game,"<a href=""https://boardgamegeek.com/boardgame/91872"">Dungeons &amp; Dragons: The Legend of Drizzt Board Game</a><br><img src=""https://cf.geekdo-images.com/pcdCF6fDsqrQlzWtOM-Xkw__thumb/img/71kj061sVLOZb-OAC1eDrKcjpjA=/fit-in/200x150/filters:strip_icc()/pic994268.jpg"" alt=""Dungeons &amp; Dragons: The Legend of Drizzt Board Game"">",2011,#674,6.8,6.903508771929824,-0.13489084743232704,"Adventure, Exploration, Fantasy, Fighting, Miniatures, Novel-based"
172225,Exploding Kittens,"<a href=""https://boardgamegeek.com/boardgame/172225"">Exploding Kittens</a><br><img src=""https://cf.geekdo-images.com/N8bL53-pRU7zaXDTrEaYrw__thumb/img/3tH4pIc1Udzkd0tXc6MgVQ59BC0=/fit-in/200x150/filters:strip_icc()/pic2691976.png"" alt=""Exploding Kittens"">",2015,#3375,5.9,5.606565217391304,-0.9691456452775405,"Animals, Card Game, Comic Book / Strip, Humor"
272453,KeyForge: Age of Ascension,"<a href=""https://boardgamegeek.com/boardgame/272453"">KeyForge: Age of Ascension</a><br><img src=""https://cf.geekdo-images.com/h-WF0zgSWsuZ6vAvZxUG_A__thumb/img/QUc7L9aZuO2ZqiH86MTlVMIs2y8=/fit-in/200x150/filters:strip_icc()/pic4574772.jpg"" alt=""KeyForge: Age of Ascension"">",2019,#1135,6.5,8.274909090909091,0.6353399565766418,"Card Game, Fantasy, Fighting"
201920,Pocket Madness,"<a href=""https://boardgamegeek.com/boardgame/201920"">Pocket Madness</a><br><img src=""https://cf.geekdo-images.com/6v8uO3HPOV1xMT9HlrUn6A__thumb/img/9ntOmLX333OuntfZ1uXoyyi8Co8=/fit-in/200x150/filters:strip_icc()/pic3171191.png"" alt=""Pocket Madness"">",2016,#5735,5.7,5.0,-1.129019722601784,"Card Game, Horror"
189052,Sea of Clouds,"<a href=""https://boardgamegeek.com/boardgame/189052"">Sea of Clouds</a><br><img src=""https://cf.geekdo-images.com/NE1p4Sdl65tfpbYYGsayOw__thumb/img/ZPiMEkDP9YdUtvXBKexGJUqpsoA=/fit-in/200x150/filters:strip_icc()/pic3585484.jpg"" alt=""Sea of Clouds"">",2016,#1960,6.1,6.983333333333333,-0.027513955880743277,"Card Game, Pirates"
423,1856: Railroading in Upper Canada from 1856,"<a href=""https://boardgamegeek.com/boardgame/423"">1856: Railroading in Upper Canada from 1856</a><br><img src=""https://cf.geekdo-images.com/zqZhLWMGNSHmWtRTWHEKYQ__thumb/img/KBxyJcHzMCCUQ5JaVQaFjeE35A8=/fit-in/200x150/filters:strip_icc()/pic159311.jpg"" alt=""1856: Railroading in Upper Canada from 1856"">",1995,#1270,6.4,6.989473684210527,0.197043727841677,"Economic, Trains"
424,1870: Railroading across the Trans Mississippi from 1870,"<a href=""https://boardgamegeek.com/boardgame/424"">1870: Railroading across the Trans Mississippi from 1870</a><br><img src=""https://cf.geekdo-images.com/vsbzlxw-DEe4wEBcT3z_ng__thumb/img/zYmSM5jxBNemVkyWvvkKFMAOIro=/fit-in/200x150/filters:strip_icc()/pic159312.jpg"" alt=""1870: Railroading across the Trans Mississippi from 1870"">",1992,#1748,6.2,6.633333333333334,0.10012600117787357,"Economic, Trains"
27708,1960: The Making of the President,"<a href=""https://boardgamegeek.com/boardgame/27708"">1960: The Making of the President</a><br><img src=""https://cf.geekdo-images.com/p-k_CqUvJzTcMMz4ms7f_Q__thumb/img/LZFIiC173jPXvtxUGeNh9eGedpc=/fit-in/200x150/filters:strip_icc()/pic3499166.jpg"" alt=""1960: The Making of the President"">",2007,#217,7.3,7.108196721311476,0.24470293157718867,Political
